Fecha,Nombre Embalse,Volumen Útil Diario Energía kWh,Volumen Máximo Util Gwh
2017-01-13,RIOGRANDE2,447917600,560.59
2017-01-13,SAN LORENZO,419478500,422.91
2017-01-13,TRONERAS,46136600,71
2017-01-13,URRA1,146068000,158.45
2017-01-13,AGREGADO BOGOTA,1541510900,3763.5
2017-01-13,BETANIA,97366700,124.66
2017-01-13,EL QUIMBO,657774900,1113.81
2017-01-13,MUNA,45759800,57.6
2017-01-13,PRADO,57308100,57.2
2017-01-13,TOPOCORO,961914700,1003.3
2017-01-13,CHUZA,846173900,980.6
2017-01-13,ESMERALDA,868442700,1112.97
2017-01-13,GUAVIO,1474855000,2091.46
2017-01-13,ALTOANCHICAYA,13046200,36.88
2017-01-13,CALIMA1,140010200,217.04
2017-01-13,SALVAJINA,156048200,171.82
2017-01-14,AMANI,229502500,246.13
2017-01-14,MIRAFLORES,275388200,313.1
2017-01-14,PENOL,3530991400,4078.46
2017-01-14,PLAYAS,103646600,96.35
2017-01-14,PORCE II,110365900,130.14
2017-01-14,PORCE III,79719800,117.29
2017-01-14,PUNCHINA,25436700,65.12
2017-01-14,RIOGRANDE2,444771000,560.59
2017-01-14,SAN LORENZO,413623400,422.91
2017-01-14,TRONERAS,53208300,71
2017-01-14,URRA1,145210100,158.45
2017-01-14,AGREGADO BOGOTA,1540861700,3763.5
2017-01-14,BETANIA,94130000,124.66
2017-01-14,EL QUIMBO,651358200,1113.81
2017-01-14,MUNA,48521900,57.6
2017-01-14,PRADO,57308100,57.2
2017-01-14,TOPOCORO,956493200,1003.3
2017-01-14,CHUZA,843209200,980.6
2017-01-14,ESMERALDA,858931400,1112.97
2017-01-14,GUAVIO,1476888500,2091.46
2017-01-14,ALTOANCHICAYA,7805500,36.88
2017-01-14,CALIMA1,141201600,217.04
2017-01-14,SALVAJINA,155553100,171.82
2017-01-15,AMANI,227216900,246.13
2017-01-15,MIRAFLORES,276027300,313.1
2017-01-15,PENOL,3514797900,4078.46
2017-01-15,PLAYAS,106793200,96.35
2017-01-15,PORCE II,95769900,130.14
2017-01-15,PORCE III,96329200,117.29
2017-01-15,PUNCHINA,43850700,65.12
2017-01-15,RIOGRANDE2,440182900,560.59
2017-01-15,SAN LORENZO,403733200,422.91
2017-01-15,TRONERAS,56125800,71
2017-01-15,URRA1,144601300,158.45
2017-01-15,AGREGADO BOGOTA,1540208000,3763.5
2017-01-15,BETANIA,94042100,124.66
2017-01-15,EL QUIMBO,646105600,1113.81
2017-01-15,MUNA,48798200,57.6
2017-01-15,PRADO,57308100,57.2
2017-01-15,TOPOCORO,946904100,1003.3
2017-01-15,CHUZA,840253700,980.6
2017-01-15,ESMERALDA,852986800,1112.97
2017-01-15,GUAVIO,1478341700,2091.46
2017-01-15,ALTOANCHICAYA,13440800,36.88
2017-01-15,CALIMA1,141843900,217.04
2017-01-15,SALVAJINA,154513800,171.82
2017-01-16,AMANI,223518800,246.13
2017-01-16,MIRAFLORES,276663200,313.1
2017-01-16,PENOL,3500613800,4078.46
2017-01-16,PLAYAS,101969900,96.35
2017-01-16,PORCE II,108119700,130.14
2017-01-16,PORCE III,88439500,117.29
2017-01-16,PUNCHINA,48264600,65.12
2017-01-16,RIOGRANDE2,445429600,560.59
2017-01-16,SAN LORENZO,409192600,422.91
2017-01-16,TRONERAS,46136600,71
2017-01-16,URRA1,143925300,158.45
2017-01-16,AGREGADO BOGOTA,1536046400,3763.5
2017-01-16,BETANIA,90196500,124.66
2017-01-16,EL QUIMBO,639684200,1113.81
2017-01-16,MUNA,46358300,57.6
2017-01-16,PRADO,57308100,57.2
2017-01-16,TOPOCORO,935872600,1003.3
2017-01-16,CHUZA,837298200,980.6
2017-01-16,ESMERALDA,846888900,1112.97
2017-01-16,GUAVIO,1473111600,2091.46
2017-01-16,ALTOANCHICAYA,21973800,36.88
2017-01-16,CALIMA1,142491400,217.04
2017-01-16,SALVAJINA,153748000,171.82
2017-01-17,AMANI,226371600,246.13
2017-01-17,MIRAFLORES,277727300,313.1
2017-01-17,PENOL,3495476300,4078.46
2017-01-17,PLAYAS,99462700,96.35
2017-01-17,PORCE II,91370700,130.14
2017-01-17,PORCE III,94358100,117.29
