Fecha,Recurso,Precio de Oferta Declarado $/kWh,Capacidad Efectiva Neta (MW),Volumen Util
2017-01-08,CALIMA,294.5,132,0.6307694434205676
2017-01-08,CHIVOR,57.24601,1000,0.7986424611624752
2017-01-08,EL QUIMBO,57.11801,400,0.5923961896553271
2017-01-08,GUATAPE,57.246030000000005,560,0.8776474208402191
2017-01-08,GUATRON,100.0,512,0.8067951054412913
2017-01-08,GUAVIO,57.118,1250,0.7253420577013187
2017-01-08,JAGUAS,57.246019999999994,170,0.9380040670591852
2017-01-08,LA TASAJERA,170.0,306,0.7870541750655559
2017-01-08,MIEL I,57.24604,396,0.8963165806687523
2017-01-08,PAGUA,300.0,600,0.508029697815357
2017-01-08,PLAYAS,57.246,207,1.1232205500778414
2017-01-08,PORCE II,150.0,405,0.7292216074996158
2017-01-08,PORCE III,90.0,700,0.6847003154574132
2017-01-08,PRADO,150.00001,51,1.0018898601398603
2017-01-08,SALVAJINA,294.0,315,0.8591328134093819
2017-01-08,SAN CARLOS,108.0,1240,0.7150767813267813
2017-01-08,SOGAMOSO,369.0,819,0.9393864247981661
2017-01-08,URRA,57.077,338,0.9556339539286841
2017-01-09,ALBAN,139.999,429,0.6095281995661604
2017-01-09,BETANIA,57.11801,540,0.7395363388416494
2017-01-09,CALIMA,294.5,132,0.6332993918171766
2017-01-09,CHIVOR,57.246,1000,0.7954032902953359
2017-01-09,EL QUIMBO,57.118,400,0.5879457896768749
2017-01-09,GUATAPE,57.246019999999994,560,0.874375082751823
2017-01-09,GUATRON,160.0,512,0.8520447800052069
2017-01-09,GUAVIO,115.1,1250,0.723931607585132
2017-01-09,JAGUAS,99.5,170,0.9246584379655245
2017-01-09,LA TASAJERA,170.0,306,0.8120317879377085
2017-01-09,MIEL I,105.5,396,0.8889964652825743
2017-01-09,PAGUA,300.0,600,0.5077746839660954
2017-01-09,PLAYAS,57.24601,207,1.118040477426051
2017-01-09,PORCE II,150.0,405,0.8196926386967882
2017-01-09,PORCE III,57.246030000000005,700,0.5595643277346747
2017-01-09,PRADO,144.0,51,1.0018898601398603
2017-01-09,SALVAJINA,294.0,315,0.8695111162844839
2017-01-09,SAN CARLOS,88.5,1240,0.6694226044226044
2017-01-09,SOGAMOSO,369.0,819,0.9560489385029404
2017-01-09,URRA,57.077,338,0.9567819501420007
2017-01-10,ALBAN,137.999,429,0.6038449023861171
2017-01-10,BETANIA,57.11801,540,0.7543887373656346
2017-01-10,CALIMA,294.5,132,0.6358053814964985
2017-01-10,CHIVOR,57.24601,1000,0.7954032902953359
2017-01-10,EL QUIMBO,57.118,400,0.5863738878264696
2017-01-10,GUATAPE,57.246030000000005,560,0.8711017393820216
2017-01-10,GUATRON,80.0,512,0.8372278052590472
2017-01-10,GUAVIO,117.5,1250,0.720553249882857
2017-01-10,JAGUAS,155.5,170,0.9360707952046534
2017-01-10,LA TASAJERA,57.24604,306,0.802098146595551
2017-01-10,MIEL I,161.5,396,0.8991862024133588
2017-01-10,PAGUA,300.0,600,0.5077651040256576
2017-01-10,PLAYAS,57.246,207,1.0749206019719773
2017-01-10,PORCE II,150.0,405,0.8511164899339174
2017-01-10,PORCE III,171.0,700,0.6241103248358768
2017-01-10,PRADO,136.999,51,1.0018898601398603
2017-01-10,SALVAJINA,294.0,315,0.8840280526131998
2017-01-10,SAN CARLOS,57.246019999999994,1240,0.5541262285012284
2017-01-10,SOGAMOSO,88.5,819,0.9636740755506827
2017-01-10,URRA,57.077,338,0.949397917324077
2017-01-11,ALBAN,57.24601,429,0.482472885032538
2017-01-11,BETANIA,300.0,540,0.8181212899085513
2017-01-11,CALIMA,250.0,132,0.6396000737191302
2017-01-11,CHIVOR,57.24605,1000,0.78766723271966
2017-01-11,EL QUIMBO,57.24606,400,0.5950175523653047
2017-01-11,GUATAPE,57.246069999999996,560,0.8674114984577512
2017-01-11,GUATRON,120.0,512,0.8485089820359282
2017-01-11,GUAVIO,111.95,1250,0.7159213181222687
2017-01-11,JAGUAS,155.5,170,0.9520358941618783
2017-01-11,LA TASAJERA,57.246,306,0.8042455270340176
2017-01-11,MIEL I,161.5,396,0.9123357575265104
2017-01-11,PAGUA,57.246019999999994,600,0.5077651040256576
2017-01-11,PLAYAS,57.24604,207,1.0560622729631552
2017-01-11,PORCE II,57.246030000000005,405,0.7445527893038267
2017-01-11,PORCE III,171.0,700,0.7612891124563048
2017-01-11,PRADO,134.99,51,1.0018898601398603
2017-01-11,SALVAJINA,294.0,315,0.9030974275404493
2017-01-11,SAN CARLOS,89.5,1240,0.4383630221130221
2017-01-11,SOGAMOSO,88.5,819,0.9614598823881193
2017-01-11,URRA,57.077,338,0.9407188387503946
2017-01-12,ALBAN,57.24606,429,0.39219902386117134
2017-01-12,BETANIA,57.246069999999996,540,0.8091248195090647
2017-01-12,CALIMA,240.0,132,0.6417006081828235
2017-01-12,CHIVOR,57.246019999999994,1000,0.7824466966764603
2017-01-12,EL QUIMBO,57.24601,400,0.5950175523653047
2017-01-12,GUATAPE,57.246030000000005,560,0.8649709449154829
2017-01-12,GUATRON,105.0,512,0.8417451184587347
2017-01-12,GUAVIO,138.0,1250,0.710747516089239
2017-01-12,JAGUAS,155.5,170,0.9669407202478068
2017-01-12,LA TASAJERA,57.24604,306,0.7976795875773738
2017-01-12,MIEL I,161.5,396,0.9258014057611832
2017-01-12,PAGUA,57.246,600,0.5079855884374284
2017-01-12,PLAYAS,57.24605,207,1.0425044110015569
2017-01-12,PORCE II,171.0,405,0.8358667588750578
2017-01-12,PORCE III,57.246080000000006,700,0.6761164634666211
2017-01-12,PRADO,80.0,51,1.0018898601398603
2017-01-12,SALVAJINA,294.0,315,0.912361773949482
2017-01-12,SAN CARLOS,110.5,1240,0.5331633906633906
2017-01-12,SOGAMOSO,88.5,819,0.9577683643974884
2017-01-12,URRA,57.077,338,0.9319507731145472
2017-01-13,ALBAN,57.246019999999994,429,0.35374728850325377
2017-01-13,BETANIA,57.24604,540,0.781058077972084
2017-01-13,CALIMA,230.0,132,0.6450893844452635
2017-01-13,CHIVOR,57.246,1000,0.7802929998113156
2017-01-13,EL QUIMBO,57.24601,400,0.5905629326366256
2017-01-13,GUATAPE,57.24606,560,0.8647744736984058
2017-01-13,GUATRON,85.0,512,0.8359880239520958
2017-01-13,GUAVIO,149.0,1250,0.7051796352787049
2017-01-13,JAGUAS,155.5,170,0.9918859804686576
2017-01-13,LA TASAJERA,57.24609,306,0.7990110419379581
2017-01-13,MIEL I,161.5,396,0.9412103360013001
2017-01-13,PAGUA,57.246069999999996,600,0.5067881375346232
2017-01-13,PLAYAS,57.246030000000005,207,1.0639532952776336
2017-01-13,PORCE II,57.246080000000006,405,0.7387759336099586
2017-01-13,PORCE III,171.0,700,0.8233932986614374
2017-01-13,PRADO,70.0,51,1.0018898601398603
2017-01-13,SALVAJINA,294.0,315,0.9082074263764406
2017-01-13,SAN CARLOS,57.24605,1240,0.3377395577395577
2017-01-13,SOGAMOSO,88.5,819,0.9587508222864548
2017-01-13,URRA,57.077,338,0.921855474913222
2017-01-14,ALBAN,57.246069999999996,429,0.21164587852494576
2017-01-14,BETANIA,57.24606,540,0.755093855286379
2017-01-14,CALIMA,230.0,132,0.6505786951713971
2017-01-14,CHIVOR,57.24605,1000,0.7717471270564347
2017-01-14,EL QUIMBO,57.24601,400,0.5848018961941445
2017-01-14,GUATAPE,57.24604,560,0.8657658527973794
2017-01-14,GUATRON,85.0,512,0.8554972663368914
2017-01-14,GUAVIO,180.0,1250,0.7061519225803984
2017-01-14,JAGUAS,57.246030000000005,170,0.9780411907970963
2017-01-14,LA TASAJERA,57.24609,306,0.7933980270786136
2017-01-14,MIEL I,57.247,396,0.9324442367854386
2017-01-14,PAGUA,57.246,600,0.5066107420288648
2017-01-14,PLAYAS,57.246019999999994,207,1.0757301504929944
2017-01-14,PORCE II,171.0,405,0.8480551713539266
2017-01-14,PORCE III,57.246080000000006,700,0.6796811322363373
2017-01-14,PRADO,57.246109999999994,51,1.0018898601398603
2017-01-14,SALVAJINA,294.0,315,0.9053259224770108
2017-01-14,SAN CARLOS,65.0,1240,0.39061271498771494
2017-01-14,SOGAMOSO,57.2461,819,0.9533471543905113
2017-01-14,URRA,57.077,338,0.9164411486273274
2017-01-15,ALBAN,175.0,429,0.36444685466377436
2017-01-15,BETANIA,57.246109999999994,540,0.7543887373656346
2017-01-15,CALIMA,230.0,132,0.6535380575009214
2017-01-15,CHIVOR,57.246030000000005,1000,0.7664059228910034
2017-01-15,EL QUIMBO,57.246019999999994,400,0.5800860110790889
2017-01-15,GUATAPE,57.24606,560,0.861795359032576
2017-01-15,GUATRON,85.0,512,0.8647568341577714
2017-01-15,GUAVIO,180.0,1250,0.7068467482046035
2017-01-15,JAGUAS,57.246069999999996,170,0.9546551275685133
2017-01-15,LA TASAJERA,57.24609,306,0.7852136142278671
2017-01-15,MIEL I,57.24605,396,0.9231580871896966
2017-01-15,PAGUA,57.246,600,0.505916633692234
2017-01-15,PLAYAS,57.2461,207,1.1083881681370005
2017-01-15,PORCE II,57.246080000000006,405,0.735899031811895
2017-01-15,PORCE III,140.0,700,0.8212908176315116
2017-01-15,PRADO,57.24604,51,1.0018898601398603
2017-01-15,SALVAJINA,294.0,315,0.8992771505063439
2017-01-15,SAN CARLOS,90.0,1240,0.6733829852579852
2017-01-15,SOGAMOSO,57.24601,819,0.9437895943386824
2017-01-15,URRA,57.077,338,0.9125989271063428
2017-01-16,ALBAN,145.0,429,0.5958188720173535
2017-01-16,BETANIA,57.24609,540,0.7235400288785496
2017-01-16,CALIMA,220.0,132,0.6565213785477332
2017-01-16,CHIVOR,57.24604,1000,0.7609269791638589
2017-01-16,EL QUIMBO,57.246019999999994,400,0.574320754886381
2017-01-16,GUATAPE,57.246069999999996,560,0.8583175512325731
2017-01-16,GUATRON,57.246030000000005,512,0.8404056235355376
2017-01-16,GUAVIO,100.0,1250,0.7043460549090109
2017-01-16,JAGUAS,155.0,170,0.9675642571705564
2017-01-16,LA TASAJERA,95.0,306,0.7945728607360102
2017-01-16,MIEL I,57.24606,396,0.9081331003941007
2017-01-16,PAGUA,57.246,600,0.5039262969365017
2017-01-16,PLAYAS,57.246080000000006,207,1.0583279709392839
2017-01-16,PORCE II,140.0,405,0.8307952973720609
2017-01-16,PORCE III,57.2461,700,0.7540242134879358
2017-01-16,PRADO,57.24605,51,1.0018898601398603
2017-01-16,SALVAJINA,294.0,315,0.8948201606332208
2017-01-16,SAN CARLOS,75.0,1240,0.7411640049140049
2017-01-16,SOGAMOSO,57.24601,819,0.9327943785507825
2017-01-16,URRA,57.077,338,0.9083325970337646
2017-01-17,ALBAN,57.24605,429,0.5393139913232105
2017-01-17,BETANIA,57.246080000000006,540,0.7146101395796567
2017-01-17,CALIMA,220.0,132,0.6590752856616293
2017-01-17,CHIVOR,57.246,1000,0.7595140929225406
2017-01-17,EL QUIMBO,57.246030000000005,400,0.5735369587272515
2017-01-17,GUATAPE,57.24601,560,0.8570578845936946
2017-01-17,GUATRON,80.0,512,0.8390911221036188
2017-01-17,GUAVIO,150.0,1250,0.7064850391592475
2017-01-17,JAGUAS,155.0,170,0.9945052138752926
2017-01-17,LA TASAJERA,95.0,306,0.8017326388269501
2017-01-17,MIEL I,154.0,396,0.9197237232356885
2017-01-17,PAGUA,57.24604,600,0.49831988670679134
2017-01-17,PLAYAS,57.2461,207,1.0323061754021796
2017-01-17,PORCE II,57.246069999999996,405,0.7020954356846474
2017-01-17,PORCE III,57.24609,700,0.8044854633813623
2017-01-17,PRADO,57.24606,51,1.0018898601398603
2017-01-17,SALVAJINA,294.0,315,0.8897427540449308
2017-01-17,SAN CARLOS,57.246019999999994,1240,0.557154484029484
2017-01-17,SOGAMOSO,75.0,819,0.9267044752317354
2017-01-17,URRA,57.077,338,0.9033095613758284
2017-01-18,ALBAN,77.0,429,0.7633324295010846
