Fecha,Recurso,Precio de Oferta Declarado $/kWh,Capacidad Efectiva Neta (MW)
2017-01-16,URRA,57.077,338
2017-01-17,ALBAN,57.24605,429
2017-01-17,BETANIA,57.24608,540
2017-01-17,CALIMA,220,132
2017-01-17,CHIVOR,57.246,1000
2017-01-17,EL QUIMBO,57.24603,400
2017-01-17,GUATAPE,57.24601,560
2017-01-17,GUATRON,80,512
2017-01-17,GUAVIO,150,1250
2017-01-17,JAGUAS,155,170
2017-01-17,LA TASAJERA,95,306
2017-01-17,MIEL I,154,396
2017-01-17,PAGUA,57.24604,600
2017-01-17,PLAYAS,57.2461,207
2017-01-17,PORCE II,57.24607,405
2017-01-17,PORCE III,57.24609,700
2017-01-17,PRADO,57.24606,51
2017-01-17,SALVAJINA,294,315
2017-01-17,SAN CARLOS,57.24602,1240
2017-01-17,SOGAMOSO,75,819
2017-01-17,URRA,57.077,338
2017-01-18,ALBAN,77,429
2017-01-18,BETANIA,57.24608,540
2017-01-18,CALIMA,220,132
2017-01-18,CHIVOR,57.24601,1000
2017-01-18,EL QUIMBO,57.24603,400
2017-01-18,GUATAPE,57.246,560
2017-01-18,GUATRON,122,512
2017-01-18,GUAVIO,150,1250
2017-01-18,JAGUAS,57.24602,170
2017-01-18,LA TASAJERA,180,306
2017-01-18,MIEL I,154,396
2017-01-18,PAGUA,57.24606,600
2017-01-18,PLAYAS,57.24609,207
2017-01-18,PORCE II,57.24604,405
2017-01-18,PORCE III,57.24605,700
2017-01-18,PRADO,57.24607,51
2017-01-18,SALVAJINA,294,315
2017-01-18,SAN CARLOS,74,1240
2017-01-18,SOGAMOSO,75,819
2017-01-18,URRA,57.077,338
2017-01-19,ALBAN,57.24601,429
2017-01-19,BETANIA,180.00001,540
2017-01-19,CALIMA,220,132
2017-01-19,CHIVOR,57.24606,1000
2017-01-19,EL QUIMBO,57.24602,400
2017-01-19,GUATAPE,57.24603,560
2017-01-19,GUATRON,72,512
2017-01-19,GUAVIO,110,1250
2017-01-19,JAGUAS,57.24607,170
2017-01-19,LA TASAJERA,149,306
2017-01-19,MIEL I,57.24609,396
2017-01-19,PAGUA,57.24604,600
2017-01-19,PLAYAS,57.24608,207
2017-01-19,PORCE II,180,405
2017-01-19,PORCE III,57.24605,700
2017-01-19,PRADO,57.246,51
2017-01-19,SALVAJINA,294,315
2017-01-19,SAN CARLOS,82,1240
2017-01-19,SOGAMOSO,75,819
2017-01-19,URRA,57.077,338
2017-01-20,ALBAN,57.24604,429
2017-01-20,BETANIA,145,540
2017-01-20,CALIMA,220,132
2017-01-20,CHIVOR,57.24607,1000
2017-01-20,EL QUIMBO,57.24603,400
2017-01-20,GUATAPE,57.24602,560
2017-01-20,GUATRON,72,512
2017-01-20,GUAVIO,57.24606,1250
2017-01-20,JAGUAS,75,170
2017-01-20,LA TASAJERA,149,306
2017-01-20,MIEL I,182,396
2017-01-20,PAGUA,57.24605,600
2017-01-20,PLAYAS,57.24609,207
2017-01-20,PORCE II,180,405
2017-01-20,PORCE III,57.24601,700
2017-01-20,PRADO,57.246,51
2017-01-20,SALVAJINA,294,315
2017-01-20,SAN CARLOS,57.24608,1240
2017-01-20,SOGAMOSO,106,819
2017-01-20,URRA,57.077,338
2017-01-21,ALBAN,57.24612,429
2017-01-21,BETANIA,57.24604,540
2017-01-21,CALIMA,220,132
2017-01-21,CHIVOR,57.24611,1000
2017-01-21,EL QUIMBO,57.24603,400
2017-01-21,GUATAPE,57.24602,560
2017-01-21,GUATRON,72,512
2017-01-21,GUAVIO,57.24607,1250
2017-01-21,JAGUAS,57.246,170
2017-01-21,LA TASAJERA,57.2461,306
2017-01-21,MIEL I,57.24605,396
2017-01-21,PAGUA,57.24608,600
2017-01-21,PLAYAS,57.24606,207
2017-01-21,PORCE II,57.24609,405
2017-01-21,PORCE III,180,700
2017-01-21,PRADO,57.24601,51
2017-01-21,SALVAJINA,294,315
2017-01-21,SAN CARLOS,144,1240
2017-01-21,SOGAMOSO,61,819
2017-01-21,URRA,57.077,338
2017-01-22,ALBAN,57.24601,429
2017-01-22,BETANIA,105,540
2017-01-22,CALIMA,220,132
2017-01-22,CHIVOR,57.24607,1000
2017-01-22,EL QUIMBO,57.24606,400
2017-01-22,GUATAPE,57.24604,560
2017-01-22,GUATRON,72,512
2017-01-22,GUAVIO,57.24608,1250
2017-01-22,JAGUAS,145,170
2017-01-22,LA TASAJERA,57.24603,306
2017-01-22,MIEL I,160,396
2017-01-22,PAGUA,57.24609,600
2017-01-22,PLAYAS,57.2461,207
2017-01-22,PORCE II,180,405
2017-01-22,PORCE III,57.24605,700
2017-01-22,PRADO,57.24602,51
2017-01-22,SALVAJINA,294,315
2017-01-22,SAN CARLOS,57.246,1240
2017-01-22,SOGAMOSO,175,819
2017-01-22,URRA,57.205,338
2017-01-23,ALBAN,57.24609,429
2017-01-23,BETANIA,100,540
2017-01-23,CALIMA,220,132
2017-01-23,CHIVOR,57.24605,1000
2017-01-23,EL QUIMBO,57.24606,400
2017-01-23,GUATAPE,57.24601,560
2017-01-23,GUATRON,72,512
2017-01-23,GUAVIO,57.246,1250
2017-01-23,JAGUAS,160,170
2017-01-23,LA TASAJERA,57.24604,306
2017-01-23,MIEL I,57.24608,396
2017-01-23,PAGUA,57.24602,600
2017-01-23,PLAYAS,57.24603,207
2017-01-23,PORCE II,106,405
2017-01-23,PORCE III,180,700
2017-01-23,PRADO,57.24607,51
2017-01-23,SALVAJINA,294,315
2017-01-23,SAN CARLOS,61.00001,1240
2017-01-23,SOGAMOSO,180.00001,819
2017-01-23,URRA,57.205,338
2017-01-24,ALBAN,57.24607,429
2017-01-24,BETANIA,57.24606,540
2017-01-24,CALIMA,220,132
2017-01-24,CHIVOR,57.24605,1000
2017-01-24,EL QUIMBO,57.24603,400
2017-01-24,GUATAPE,57.24609,560
2017-01-24,GUATRON,178,512
2017-01-24,GUAVIO,115,1250
2017-01-24,JAGUAS,57.24604,170
2017-01-24,LA TASAJERA,57.246,306
2017-01-24,MIEL I,57.24601,396
2017-01-24,PAGUA,57.24608,600
2017-01-24,PLAYAS,57.2461,207
2017-01-24,PORCE II,179,405
2017-01-24,PORCE III,57.24611,700
2017-01-24,PRADO,57.24602,51
2017-01-24,SALVAJINA,294,315
2017-01-24,SAN CARLOS,175,1240
2017-01-24,SOGAMOSO,61,819
2017-01-24,URRA,57.205,338
2017-01-25,ALBAN,57.24607,429
2017-01-25,BETANIA,114,540
2017-01-25,CALIMA,220,132
2017-01-25,CHIVOR,57.24604,1000
2017-01-25,EL QUIMBO,57.24601,400
2017-01-25,GUATAPE,57.24603,560
2017-01-25,GUATRON,96,512
2017-01-25,GUAVIO,57.24606,1250
2017-01-25,JAGUAS,120,170
2017-01-25,LA TASAJERA,57.24609,306
2017-01-25,MIEL I,175,396
2017-01-25,PAGUA,57.246,600
2017-01-25,PLAYAS,57.24602,207
2017-01-25,PORCE II,57.24608,405
2017-01-25,PORCE III,196,700
2017-01-25,PRADO,57.2461,51
2017-01-25,SALVAJINA,294,315
2017-01-25,SAN CARLOS,57.24605,1240
2017-01-25,SOGAMOSO,177,819
2017-01-25,URRA,57.205,338
2017-01-26,ALBAN,121,429
2017-01-26,BETANIA,57.24608,540
2017-01-26,CALIMA,200,132
2017-01-26,CHIVOR,57.24601,1000
2017-01-26,EL QUIMBO,57.24607,400
2017-01-26,GUATAPE,57.24603,560
2017-01-26,GUATRON,96,512
2017-01-26,GUAVIO,57.24605,1250
2017-01-26,JAGUAS,95,170
2017-01-26,LA TASAJERA,57.24606,306
2017-01-26,MIEL I,65,396
2017-01-26,PAGUA,117.1,600
2017-01-26,PLAYAS,57.24604,207
2017-01-26,PORCE II,57.24602,405
2017-01-26,PORCE III,172,700
2017-01-26,PRADO,57.246,51
2017-01-26,SALVAJINA,195,315
2017-01-26,SAN CARLOS,189.9,1240
2017-01-26,SOGAMOSO,63,819
2017-01-26,URRA,57.205,338
2017-01-27,ALBAN,110,429
2017-01-27,BETANIA,57.24601,540
2017-01-27,CALIMA,190,132
2017-01-27,CHIVOR,57.246,1000
2017-01-27,EL QUIMBO,57.24603,400
2017-01-27,GUATAPE,57.24604,560
2017-01-27,GUATRON,192.00001,512
2017-01-27,GUAVIO,57.24605,1250
2017-01-27,JAGUAS,191,170
2017-01-27,LA TASAJERA,57.24608,306
2017-01-27,MIEL I,192,396
2017-01-27,PAGUA,122.4,600
2017-01-27,PLAYAS,57.24606,207
2017-01-27,PORCE II,196,405
2017-01-27,PORCE III,57.24607,700
2017-01-27,PRADO,57.24602,51
2017-01-27,SALVAJINA,195,315
2017-01-27,SAN CARLOS,61.00001,1240
2017-01-27,SOGAMOSO,150,819
2017-01-27,URRA,57.205,338
2017-01-28,ALBAN,145,429
2017-01-28,BETANIA,300,540
2017-01-28,CALIMA,190,132
2017-01-28,CHIVOR,57.24602,1000
2017-01-28,EL QUIMBO,57.24606,400
2017-01-28,GUATAPE,57.24605,560
2017-01-28,GUATRON,95,512
2017-01-28,GUAVIO,57.24603,1250
2017-01-28,JAGUAS,191,170
2017-01-28,LA TASAJERA,57.24601,306
2017-01-28,MIEL I,192,396
2017-01-28,PAGUA,119.75,600
2017-01-28,PLAYAS,57.24604,207
2017-01-28,PORCE II,196,405
2017-01-28,PORCE III,197,700
2017-01-28,PRADO,57.246,51
2017-01-28,SALVAJINA,195,315
2017-01-28,SAN CARLOS,61,1240
2017-01-28,SOGAMOSO,99,819
2017-01-28,URRA,57.205,338
2017-01-29,ALBAN,170,429
2017-01-29,BETANIA,99.1,540
2017-01-29,CALIMA,220,132
2017-01-29,CHIVOR,57.24602,1000
2017-01-29,EL QUIMBO,57.246,400
2017-01-29,GUATAPE,57.24606,560
2017-01-29,GUATRON,57.24603,512
2017-01-29,GUAVIO,146.5,1250
