Volumen Util,Capacidad Efectiva Neta (MW),Precio de Oferta Declarado $/kWh
0.8776474208402191,560,57.24603000000001
0.8067951054412913,512,100.0
0.7253420577013187,1250,57.118
0.9380040670591852,170,57.24602
0.7870541750655559,306,170.0
0.8963165806687523,396,57.24604
0.5080296978153571,600,300.0
1.1232205500778414,207,57.246
0.7292216074996158,405,150.0
0.6847003154574132,700,90.0
1.0018898601398605,51,150.00001
0.8591328134093819,315,294.0
0.7150767813267813,1240,108.0
0.939386424798166,819,369.0
0.955633953928684,338,57.077
0.6095281995661604,429,139.999
0.7395363388416494,540,57.11801
0.6332993918171766,132,294.5
0.7954032902953359,1000,57.246
0.5879457896768749,400,57.118
0.8743750827518231,560,57.24602
0.8520447800052069,512,160.0
0.7239316075851321,1250,115.1
0.9246584379655244,170,99.5
0.8120317879377085,306,170.0
0.8889964652825743,396,105.5
0.5077746839660954,600,300.0
1.118040477426051,207,57.24601
0.8196926386967882,405,150.0
0.5595643277346747,700,57.24603000000001
1.0018898601398605,51,144.0
0.8695111162844839,315,294.0
0.6694226044226044,1240,88.5
0.9560489385029404,819,369.0
0.9567819501420008,338,57.077
0.6038449023861171,429,137.999
0.7543887373656346,540,57.11801
0.6358053814964985,132,294.5
0.7954032902953359,1000,57.24601
0.5863738878264696,400,57.118
0.8711017393820216,560,57.24603000000001
0.8372278052590472,512,80.0
0.7205532498828571,1250,117.5
0.9360707952046534,170,155.5
0.8020981465955509,306,57.24604
0.8991862024133588,396,161.5
0.5077651040256576,600,300.0
1.0749206019719773,207,57.246
0.8511164899339174,405,150.0
0.6241103248358768,700,171.0
1.0018898601398605,51,136.999
0.8840280526131998,315,294.0
0.5541262285012284,1240,57.24602
0.9636740755506829,819,88.5
0.9493979173240771,338,57.077
0.48247288503253793,429,57.24601
0.8181212899085513,540,300.0
0.6396000737191302,132,250.0
0.7876672327196601,1000,57.24605
0.5950175523653047,400,57.24606
0.8674114984577512,560,57.24607
0.8485089820359282,512,120.0
0.7159213181222687,1250,111.95
0.9520358941618784,170,155.5
0.8042455270340176,306,57.246
0.9123357575265104,396,161.5
0.5077651040256576,600,57.24602
1.0560622729631552,207,57.24604
0.7445527893038267,405,57.24603000000001
0.7612891124563048,700,171.0
1.0018898601398605,51,134.99
0.9030974275404492,315,294.0
0.4383630221130221,1240,89.5
0.9614598823881192,819,88.5
0.9407188387503946,338,57.077
0.39219902386117134,429,57.24606
0.8091248195090647,540,57.24607
0.6417006081828235,132,240.0
0.7824466966764603,1000,57.24602
0.5950175523653047,400,57.24601
0.8649709449154829,560,57.24603000000001
0.8417451184587347,512,105.0
0.7107475160892389,1250,138.0
0.9669407202478068,170,155.5
0.7976795875773738,306,57.24604
0.9258014057611832,396,161.5
0.5079855884374284,600,57.246
1.0425044110015569,207,57.24605
0.8358667588750578,405,171.0
0.6761164634666211,700,57.246080000000006
1.0018898601398605,51,80.0
0.912361773949482,315,294.0
0.5331633906633906,1240,110.5
0.9577683643974884,819,88.5
0.9319507731145472,338,57.077
0.35374728850325377,429,57.24602
0.7810580779720842,540,57.24604
0.6450893844452635,132,230.0
0.7802929998113156,1000,57.246
0.5905629326366256,400,57.24601
0.8647744736984058,560,57.24606
0.8359880239520958,512,85.0
0.7051796352787049,1250,149.0
0.9918859804686576,170,155.5
0.7990110419379581,306,57.24609
0.9412103360013,396,161.5
0.5067881375346232,600,57.24607
1.0639532952776336,207,57.24603000000001
0.7387759336099586,405,57.246080000000006
0.8233932986614374,700,171.0
1.0018898601398605,51,70.0
0.9082074263764406,315,294.0
0.3377395577395577,1240,57.24605
0.9587508222864548,819,88.5
0.9218554749132221,338,57.077
0.21164587852494576,429,57.24607
0.755093855286379,540,57.24606
0.6505786951713971,132,230.0
0.7717471270564347,1000,57.24605
0.5848018961941445,400,57.24601
0.8657658527973794,560,57.24604
0.8554972663368914,512,85.0
0.7061519225803984,1250,180.0
0.9780411907970964,170,57.24603000000001
0.7933980270786136,306,57.24609
0.9324442367854386,396,57.247
0.5066107420288648,600,57.246
1.0757301504929944,207,57.24602
0.8480551713539266,405,171.0
0.6796811322363373,700,57.246080000000006
1.0018898601398605,51,57.24611
0.9053259224770108,315,294.0
0.3906127149877149,1240,65.0
0.9533471543905112,819,57.2461
0.9164411486273274,338,57.077
0.3644468546637744,429,175.0
0.7543887373656346,540,57.24611
0.6535380575009214,132,230.0
0.7664059228910034,1000,57.24603000000001
0.5800860110790889,400,57.24602
0.861795359032576,560,57.24606
0.8647568341577714,512,85.0
0.7068467482046035,1250,180.0
0.9546551275685132,170,57.24607
0.7852136142278671,306,57.24609
0.9231580871896966,396,57.24605
0.505916633692234,600,57.246
1.1083881681370005,207,57.2461
0.7358990318118951,405,57.246080000000006
0.8212908176315116,700,140.0
1.0018898601398605,51,57.24604
0.8992771505063439,315,294.0
0.6733829852579852,1240,90.0
0.9437895943386824,819,57.24601
0.9125989271063428,338,57.077
0.5958188720173535,429,145.0
0.7235400288785496,540,57.24609
0.6565213785477332,132,220.0
0.7609269791638589,1000,57.24604
0.5743207548863809,400,57.24602
0.8583175512325731,560,57.24607
0.8404056235355376,512,57.24603000000001
0.7043460549090109,1250,100.0
0.9675642571705564,170,155.0
0.7945728607360102,306,95.0
0.9081331003941008,396,57.24606
0.5039262969365017,600,57.246
1.058327970939284,207,57.246080000000006
0.8307952973720609,405,140.0
0.7540242134879358,700,57.2461
1.0018898601398605,51,57.24605
0.8948201606332208,315,294.0
0.7411640049140049,1240,75.0
0.9327943785507824,819,57.24601
0.9083325970337646,338,57.077
0.5393139913232105,429,57.24605
0.7146101395796567,540,57.246080000000006
0.6590752856616293,132,220.0
0.7595140929225406,1000,57.246
0.5735369587272515,400,57.24603000000001
0.8570578845936946,560,57.24601
0.8390911221036188,512,80.0
0.7064850391592475,1250,150.0
0.9945052138752926,170,155.0
0.8017326388269501,306,95.0
0.9197237232356884,396,154.0
0.4983198867067914,600,57.24604
1.0323061754021796,207,57.2461
0.7020954356846474,405,57.24607
0.8044854633813623,700,57.24609
1.0018898601398605,51,57.24606
0.8897427540449308,315,294.0
0.557154484029484,1240,57.24602
0.9267044752317354,819,75.0
0.9033095613758284,338,57.077
0.7633324295010846,429,77.0
0.7166597144232313,540,57.246080000000006
0.6624880206413564,132,220.0
0.7526395140929225,1000,57.24601
0.5800860110790889,400,57.24603000000001
0.8582736621175641,560,57.246
0.8587417339234573,512,122.0
0.7032838782477313,1250,150.0
0.9767316923222434,170,57.24602
0.8147796071995576,306,180.0
0.9350875553569252,396,154.0
0.497492367286586,600,57.24606
1.027834976647639,207,57.24609
0.5805009989242356,405,57.24604
0.8006419984653423,700,57.24605
1.0018898601398605,51,57.24607
0.8894243976254219,315,294.0
0.4970592751842751,1240,74.0
0.9211093391807036,819,75.0
0.8979280530135691,338,57.077
0.7195309110629067,429,57.24601
0.7927956040429971,540,180.00001
0.6650419277552525,132,220.0
0.7445416318499151,1000,57.24606
0.5871577737675188,400,57.24602
0.8605017825355649,560,57.24603000000001
0.8359630304608173,512,72.0
0.7006455777303893,1250,110.0
0.95078858385945,170,57.24607
0.824804580887993,306,149.0
0.9160183642790396,396,57.24609
0.4982211716683674,600,57.24604
1.0370814737934613,207,57.246080000000006
0.6339096357768558,405,180.0
0.6945195668854974,700,57.24605
1.0018898601398605,51,57.246
0.8922733092771504,315,294.0
0.5280390049140049,1240,82.0
0.9111652546596232,819,75.0
0.893295676869675,338,57.077
0.7379202819956616,429,57.24604
0.8196390181293117,540,145.0
0.6684786214522669,132,220.0
0.7375808871757551,1000,57.24607
0.5926574550417038,400,57.24603000000001
0.8613834388470158,560,57.24602
0.8286586826347305,512,72.0
0.6924896005661118,1250,57.24606
0.9411846492161452,170,75.0
0.834059473055174,306,149.0
0.92473977166538,396,182.0
0.497345252722994,600,57.24605
1.0332371562013494,207,57.24609
0.7122506531427695,405,180.0
0.5873126438741579,700,57.24601
1.0018898601398605,51,57.246
0.891016179722966,315,294.0
0.4076167076167076,1240,57.246080000000006
0.9063251270806341,819,106.0
0.887653518460082,338,57.077
0.9990509761388284,429,57.24612
0.7913187871009144,540,57.24604
0.6718918171765574,132,220.0
0.7288626827317898,1000,57.24611
0.6235951374112282,400,57.24603000000001
0.8603122747311486,560,57.24602
0.826894819057537,512,72.0
0.6847987530242031,1250,57.24607
0.9290863304249132,170,57.246
0.8233948161758148,306,57.2461
0.9081331003941008,396,57.24605
0.4951312035320825,600,57.246080000000006
0.9959045147898288,207,57.24606
0.5965475641616721,405,57.24609
0.7435263023275641,700,180.0
1.0018898601398605,51,57.24601
0.91747119078105,315,294.0
0.6538175675675675,1240,144.0
0.8998016545400179,819,61.0
0.8824026506784475,338,57.077
0.9121203904555316,429,57.24601
0.8226592331140703,540,105.0
0.6740398083302617,132,220.0
0.7204202269602954,1000,57.24607
0.6380672646142521,400,57.24606
0.8565312887707615,560,57.24604
0.8393907836500911,512,72.0
0.6782453405754831,1250,57.246080000000006
0.9405611122933956,170,145.0
0.8102500936513316,306,57.24603000000001
0.916809409661561,396,160.0
0.4957138721702729,600,57.24609
1.039995848469123,207,57.2461
0.6836914092515753,405,180.0
0.6022414528092761,700,57.24605
1.0018898601398605,51,57.24602
0.9293458270282856,315,294.0
0.4965939803439803,1240,57.246
0.90173417721519,819,175.0
0.8791864941621963,338,57.205
0.7626626898047721,429,57.24609
0.8024177763516765,540,100.0
0.6766172134168817,132,220.0
0.7118054394997171,1000,57.24605
0.6457289842971422,400,57.24606
0.8526884412253645,560,57.24601
0.8302642541004945,512,72.0
0.6724045881824179,1250,57.246
0.9501650469367005,170,160.0
0.7970138603970816,306,57.24604
0.8926563198309836,396,57.246080000000006
0.4943026844659183,600,57.24602
0.9823072132848988,207,57.24603000000001
0.6733287229137852,405,106.0
0.6687918833660158,700,180.0
1.0018898601398605,51,57.24607
0.9345035502269816,315,294.0
0.4364987714987715,1240,61.00001
0.9014920761487092,819,180.00001
0.8734143262858948,338,57.205
0.5914723427331887,429,57.24607
0.7708904219476977,540,57.24606
0.6787652045705861,132,220.0
0.7026393343935595,1000,57.24605
0.6473725321194818,400,57.24603000000001
0.8480187865027486,560,57.24609
0.8483423587607394,512,178.0
0.6665911851051418,1250,115.0
0.9290863304249132,170,57.24604
0.7940573324533081,306,57.246
0.8788290740665502,396,57.24601
0.4917564612533061,600,57.246080000000006
1.0222906071613909,207,57.2461
0.7513339480559398,405,179.0
0.5219524256117316,700,57.24611
1.0018898601398605,51,57.24602
0.9357926900244444,315,294.0
0.5790479115479115,1240,175.0
0.8906486594239011,819,61.0
0.8678535815714737,338,57.205
0.4727765726681128,429,57.24607
0.7687213219958287,540,114.0
0.6809371544415777,132,220.0
0.6939727935164469,1000,57.24604
0.6438156418060531,400,57.24601
0.8451643512502268,560,57.24603000000001
0.8370778443113771,512,96.0
0.6581225077218784,1250,57.24606
0.9208543188858148,170,120.0
0.7895604630835369,306,57.24609
0.8780607808881485,396,175.0
0.4904382822750276,600,57.246
0.9938816813700052,207,57.24602
0.6621453818964192,405,57.246080000000006
0.6403512660925911,700,196.0
1.0018898601398605,51,57.2461
0.9348219066464908,315,294.0
0.3957371007371007,1240,57.24605
0.8877625834745341,819,177.0
0.8625295045755759,338,57.205
0.4393411062906724,429,121.0
0.7565177282207606,540,57.246080000000006
0.6826552709178032,132,200.0
0.6921292577517812,1000,57.24601
0.6402587514926245,400,57.24607
0.8413653928198389,560,57.24603000000001
0.8221861494402498,512,96.0
0.6541109559829019,1250,57.24605
0.8940382114397861,170,95.0
0.77480351058706,306,57.24606
0.8524848657213668,396,65.0
0.4910001041297874,600,117.1
1.0337633627400105,207,57.24604
0.6041609036422315,405,57.24602
0.7132696734589479,700,172.0
1.0018898601398605,51,57.246
0.9193976254219532,315,195.0
0.6701213144963145,1240,189.9
0.8750517292933321,819,63.0
0.8569359419375198,338,57.205
0.33268167028199563,429,110.0
0.7451660516605166,540,57.24601
0.680053907113896,132,190.0
0.6894586556690656,1000,57.246
0.6394368877995349,400,57.24603000000001
0.8407949078818966,560,57.24604
0.8447151783389742,512,192.00001
0.6465269715892248,1250,57.24605
0.9089430375257146,170,191.0
0.7602097789828572,306,57.246080000000006
0.8547893389672124,396,192.0
0.4912383322573256,600,122.4
1.008105864037364,207,57.24606
0.6888904256954049,405,196.0
0.5656236678318697,700,57.24607
1.0018898601398605,51,57.24602
0.9046892096379934,315,195.0
0.6063006756756757,1240,61.00001
0.8697924848001595,819,150.0
0.8510905648469549,338,57.205
0.31028199566160514,429,145.0
0.8001820952992138,540,300.0
0.6770466273497974,132,190.0
